channel,v_bar,v_cross
35,7.939447735724664,5.318485955883369
34,5.018604573376811,7.703428680018677
42,8.174151831693713,5.661450390156678
36,5.5776322126697275,8.074801051674292
4,8.327011672336836,6.018332177873039
5,5.115161937692344,7.754623868500227
7,7.780693760324585,5.053667519292692
10,5.766423719813274,8.204714691775195
11,3.731167272596092,6.911132153090142
14,6.095163780425847,1.7716606299779531
15,6.104857303232151,8.434199508976153
18,4.848677664760874,7.591152498531601
19,3.853238699391039,7.061853064011385
22,3.912587773255807,7.0330039550284855
43,7.798942763931683,5.156169688912363
6,4.534897535000822,7.3995477924718704
8,7.432969291630695,4.581632887257461
9,6.411039776378723,2.605353695504468
12,6.939612495104884,3.754216421759595
13,5.33323864404588,7.913286687657791
16,3.9063720505637933,7.045719013810032
17,6.658452023543723,3.1967267932405337
20,7.322685724326982,4.3749847319635355
21,5.937165358933925,1.115787815771663
24,6.111090201775338,1.7780499471657556
25,3.154255774869079,6.64737255429683
